player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Ed Davis,TOR,23.0,208.28,105.233344,4,0,2010,1,13,66,6.3,6.6,0.9,-7.7,0.1009999999999999,0.235,0.136,0.544,0.068,2011
Maurice Taylor,NYK,29.0,205.74,120.20188,18,0,1997,1,14,67,6.3,3.4,0.8,-6.1,0.067,0.163,0.2019999999999999,0.496,0.078,2005
Isaiah Whitehead,BKN,23.0,193.04,96.615096,77,0,2016,2,42,16,6.3,1.6,1.3,-2.3,0.022,0.113,0.2739999999999999,0.53,0.213,2017
Ramon Sessions,WAS,29.0,190.5,86.18248,184,0,2007,2,56,64,6.3,2.3,2.8,-5.6,0.023,0.108,0.191,0.49,0.258,2014
Danny Granger,PHX,32.0,205.74,100.697424,75,0,2005,1,17,30,6.3,2.7,0.6,-8.0,0.0409999999999999,0.1169999999999999,0.161,0.527,0.049,2014
Dahntay Jones,IND,30.0,198.12,95.25432,32,0,2003,1,20,45,6.3,1.4,0.7,-1.8,0.008,0.119,0.2189999999999999,0.5579999999999999,0.103,2010
Marco Belinelli,SAS,34.0,195.58,99.79024,0,50,2007,1,18,57,6.3,1.7,1.2,1.5,0.008,0.0969999999999999,0.166,0.532,0.102,2019
Alex Len,PHX,22.0,215.9,115.66596,26,21,2013,1,5,69,6.3,6.6,0.5,0.5,0.102,0.223,0.135,0.542,0.03,2014
Kelly Oubre Jr.,WAS,21.0,200.66,92.98636,35,0,2015,1,15,79,6.3,3.3,0.6,0.4,0.044,0.138,0.147,0.516,0.042,2016
Tyrone Nesby,WAS,26.0,198.12,111.13004,28,0,0,8,0,70,6.3,4.5,1.3,-0.5,0.079,0.171,0.157,0.481,0.099,2001
Frank Ntilikina,NYK,21.0,193.04,90.7184,0,1,2017,1,8,57,6.3,2.1,3.0,-3.9,0.018,0.0819999999999999,0.152,0.497,0.209,2019
Serge Ibaka,OKC,20.0,208.28,106.59412,0,43,2008,1,24,73,6.3,5.4,0.1,1.6,0.122,0.215,0.163,0.562,0.013,2009
Shaun Livingston,CLE,27.0,200.66,79.3786,0,0,2004,1,4,66,6.3,2.4,3.3,-4.1,0.024,0.104,0.145,0.536,0.2289999999999999,2012
Jerome Williams,TOR,28.0,205.74,93.439952,6,0,1996,1,26,59,6.3,6.5,0.8,0.1,0.121,0.239,0.153,0.526,0.062,2000
Quincy Pondexter,MEM,26.0,198.12,102.0582,117,0,2010,1,26,15,6.3,1.7,1.3,-18.1,0.043,0.075,0.183,0.52,0.126,2013
Jeremy Lamb,OKC,23.0,195.58,83.91452,45,0,2012,1,12,47,6.3,2.3,0.9,-6.3,0.013,0.1669999999999999,0.218,0.5379999999999999,0.125,2014
Leandro Barbosa,PHX,34.0,190.5,87.996848,0,35,2003,1,28,67,6.3,1.6,1.2,-1.8,0.018,0.106,0.207,0.509,0.128,2016
